question_id,Diff,Discrm
13,-0.649,1.526
21,-0.646,1.993
26,-0.75,1.355
27,-0.337,1.247
28,-1.089,1.215
37,-0.702,1.534
44,-0.435,1.565
45,-0.408,1.182
53,-0.901,1.144
54,-0.914,1.363
56,-1.414,1.011
57,-1.345,1.449
58,-1.396,1.607
59,-1.451,1.525
63,-1.525,1.372
64,-0.944,1.135
65,-0.006,1.217
66,-0.578,1.105
92,0.723,0.913
102,-0.656,1.254
114,-0.824,1.063
130,0.061,0.873
135,-1.143,1.558
141,-0.774,1.501
155,-0.855,1.067
159,1.065,0.936
165,-1.122,1.262
166,-0.465,1.049
167,0.785,0.977
169,-1.019,1.868
172,0.357,1.372
176,-0.97,1.874
182,-0.685,1.717
186,-1.178,1.555
190,0.603,1.426
191,-1.444,1.502
192,-1.431,1.221
194,-0.523,0.973
206,-0.779,1.065
223,1.031,0.901
226,-0.223,1.881
230,-1.218,1.192
242,-0.29,1.706
243,-0.437,1.405
246,-1.417,1.506
251,-0.863,1.484
255,-0.86,1.438
268,-2.699,1.305
276,-0.407,0.327
302,-1.052,1.242
310,-1.416,0.946
311,-1.487,1.507
315,-1.248,1.728
335,-1.339,2.004
337,-0.885,0.709
345,-1.114,1.478
349,-0.57,1.272
360,-1.21,1.369
367,-0.863,1.294
369,-0.862,1.189
371,-1.422,1.459
375,-0.188,1.856
383,-1.325,1.339
388,-1.182,2.024
396,-1.229,1.907
397,-0.537,1.465
436,0.307,1.023
438,-1.777,1.185
441,-1.097,2.08
445,-0.229,1.283
452,-1.231,2.009
456,-0.338,1.67
461,-0.952,1.112
470,-0.911,0.943
471,-0.193,1.083
504,-0.833,1.173
515,-0.929,1.397
527,0.063,1.053
537,-0.523,1.074
544,-1.343,1.988
555,-1.084,1.493
563,-0.775,1.636
575,-0.404,1.192
581,-0.71,1.479
595,-0.68,1.094
597,-1.43,1.283
602,-0.053,0.766
604,-1.647,2.361
606,-1.309,1.462
607,-1.087,1.139
608,-1.415,1.544
613,-0.579,1.354
618,-1.743,2.019
627,-1.498,1.697
631,0.159,0.842
635,-1.135,1.523
637,-0.193,2.164
639,-1.335,1.35
645,-1.867,1.548
647,-1.573,0.956
648,-0.64,1.018
649,-1.81,1.563
654,-0.995,1.849
655,-1.61,1.392
656,-1.006,1.641
658,-1.158,2.331
660,-1.794,1.592
661,-1.293,1.476
662,-1.424,1.342
663,-1.027,1.453
664,-1.101,1.808
671,-1.503,2.251
687,-1.464,2.499
688,-1.17,1.508
691,-0.802,1.014
692,-1.789,2.06
694,-2.218,1.596
696,-0.663,1.173
697,-0.539,1.757
700,-1.561,2.155
704,-1.034,1.226
705,-0.781,1.312
707,-0.682,1.715
708,-0.051,0.936
710,-1.02,1.13
712,-1.443,1.777
713,-0.645,1.644
714,-0.23,1.503
716,0.128,1.463
753,-0.437,1.04
754,-0.226,2.162
760,0.231,0.859
766,-0.601,1.395
807,-0.552,1.67
809,0.312,1.101
810,-0.187,1.395
813,0.62,0.865
815,-0.981,1.115
817,-0.866,1.082
818,-0.311,1.176
864,-0.577,2.245
910,-0.049,1.521
914,0.221,0.99
994,-1.009,1.561
